RN,HN,Y_lat,X_long,Y_utm,X_utm,R_G,R_G_1085,A_Glac,A_Agr,A_Bog,A_L,A_For,A_Mount,A_U,A_LE,H_10,H_20,H_30,H_40,H_50,H_60,H_70,H_80,H_90,H_MAX,H_MIN,H_F,Y_G_Lat,X_G_Long,Y_G_UTM,X_G_UTM,C_S,R_TL_net,P_Jan,P_Feb,P_Mar,P_Apr,P_Mai,P_Jun,P_Jul,P_Aug,P_Sep,P_Oct,P_Nov,P_Dec,T_Jan,T_Feb,T_Mar,T_Apr,T_Mai,T_Jun,T_Jul,T_Aug,T_Sep,T_Oct,T_Nov,T_Dec,T_N,W_Jan,W_Feb,W_Mar,W_Apr,W_Mai,W_Jun,W_Jul,W_Aug,W_Sep,W_Oct,W_Nov,W_Dec,ID,R_L_sqrt,log_R_G_1085,Q_N_cuberoot,T_Feb_sqrd,T_Mar_cubed,W_Mai_sqrt,A,C_L,Q_N,R_L,O,R_TL,P_N,P_Med1Max,P_Med2Max,P_Med3Max,P_Med4Max,P_Med5Max,P_S,W_N,W_Med1Max,W_Med2Max,W_Med3Max,W_Med4Max,W_Med5Max,Q_N_SN,A_P,D,D_net,M_200_h,M_200_d,M_200_d_SN
212,10,69.4200439,23.6350365,7725086,837785,1.665605796,1.313473831,0,0.05,16.97,7.16,35.4,31.06,0.01,0.278649463,370,390,413,434,450,471,494,525,595,1085,0,1085,69.12430053,23.1347317,7689363.039,821928.0498,3.355029923,4846049.924,21.16276773,17.1161431,18.83518207,16.38188423,22.3648172,38.29957707,69.50230127,61.79992693,42.5881799,35.85848663,25.1586376,19.31069607,-16.16446422,-15.47013285,-12.16058875,-6.108799579,1.14410843,8.101916702,11.12958424,9.006244089,3.613077927,-2.731427016,-9.542868822,-14.38783895,-3.630932401,0.02862,0.057533333,0.080446667,15.13653167,128.7313763,51.23935533,70.689324,63.54328033,41.93022767,20.86867133,1.865093333,0.004131,212-10,12.4216832289138,0.838750217868049,2.35133468735902,239.325010396649,-1798.30687626114,11.3459850299566,5620.81000215751,92.4189628277191,12.999999994,154.298214239479,544422.936186107,6230056.31469707,388.378599975941,20.8952125053226,27.5862054984427,32.3184045091608,35.46236449326,41.6158290124301,67.4125462676856,394.174591192038,36.8355562445704,34.5140747634316,20.24963006519,26.3918524446861,42.9755564753213,266.484532094431,10.3243445707329,1108.39119713454,862.162201710653,25.9999999994415,56.0000000148316,52.0000000217658
2,592,62.1119919,9.2898932,6899784,202296,52.55034629,51.92270915,0,0,0,0,0,97.96533534,0,0,1212,1284,1341,1398,1439,1471,1510,1556,1590,1708,987,721,62.10871016,9.377360524,6898992.333,206812.2549,11.10189995,35533.94384,30.41753093,24.98851863,25.400741,20.45629627,32.4232097,58.0083953,70.32716043,58.93567917,50.74753077,48.02604923,37.88432113,36.7791354,-11.44873754,-10.92021301,-9.100226999,-5.76635392,0.57015929,5.323045263,6.728084442,6.130752683,1.788057633,-1.752520916,-7.192716057,-9.682214267,-2.943573616,0.096133333,0.386666667,0.867133333,10.05083333,182.5782667,137.2900667,77.7245,64.6516,48.9405,30.64613333,1.966933333,0.254666667,2-592,3.41819153575334,3.96883253124708,2.71124709401436,119.251052183773,-753.627394768311,13.5121525561252,26.5400000025462,8.74865580252678,19.9299999955217,11.6840333750958,26555.892452692,35533.9437285496,494.394567986104,18.9129630004148,27.1462964936034,32.6296305128533,35.0944450056576,39.8685184825169,50.6461451400137,555.453433231657,69.3102286589263,61.3136375214023,31.8522734698581,45.5329553868992,68.0511381391344,781.252840590624,0.999401542147379,1338.88258597371,1338.88258597371,16.9999999990443,56.0000000148316,49.9999999785927
12,200,60.8233871,10.0723333,6753180,232178,10.0340808,10.23004597,0,2.132444169,14.1032103,3.683312655,58.44835608,12.40694789,0.09692928,0.171675701,544,680,761,818,870,919,966,1014,1077,1681,143,1538,61.07599896,9.696598084,6782885.481,214274.0651,7.819733925,2434685.355,44.27821223,31.96002583,38.48304,32.78559013,55.92918183,76.5202725,86.50866553,86.49203453,79.3871927,81.61095827,62.59120033,45.39300263,-10.13419526,-9.415115074,-6.571475284,-1.887849624,4.623867434,9.712741364,10.98076668,9.704376367,5.036591953,0.760627311,-5.083263253,-8.349917252,-0.05190372,1.113356333,1.770972,6.771527667,71.205106,260.7798327,93.86088633,93.31668367,93.55822767,82.81564467,64.87577767,11.75129967,2.646942333,12-200,10.0178826104107,2.41859286224153,2.60167544912952,88.644391856662,-283.784477360289,16.1486789769318,2063.10999988252,71.6414879644608,17.6100000086621,100.357971995969,273595.968607427,2789913.22175442,721.939376282699,27.6023474874681,41.8473139885003,48.5318735165699,53.6874390247532,59.1351155083262,65.0977462630472,784.466256891417,77.9009538230442,69.4800012942106,35.3019054063671,51.1419060303229,76.2533353632729,713.541744597922,7.54071783447823,1352.28525530531,1180.10448010273,20.0000000089202,65.0000000067836,65.9999999982559
27,25,58.5734024,6.066195,6527163,-18636,13.5,13.59,0,2.63,0.87,12.3,17.48,52.94,0.07,1.482866905,185,269,342,433,527,613,673,726,788,1011,49,962,58.71269806,6.278324877,6540504.088,-4214.905755,16.37291402,724208.1604,207.0955012,149.3458585,167.6820785,94.2475273,117.5901893,123.9151808,139.9431864,181.3907246,257.5187554,294.924199,279.7326452,246.0656586,-3.28905784,-3.624090667,-1.81144643,1.256260369,6.31770097,10.17130674,11.39139125,11.0378801,8.06031233,4.980091963,0.769460894,-2.080912884,3.5982414,129.6090667,91.96506,116.9946867,163.8548167,334.9311967,208.7031333,157.7593267,192.4940167,271.5998167,304.50396,249.9954733,174.53779,27-25,7.66355009296234,2.68033636253469,4.29518118938651,13.1340331626365,-5.94396831142258,18.3011255582819,635.149999701816,48.6500000179025,79.2400000134431,58.7300000273431,240530.093596666,1141796.03509234,2259.45150520783,67.2901575126011,97.1945665293375,120.719054952057,141.917558491586,158.508426033663,64.0497309686123,2396.94834416539,69.6249999827714,65.1249999952113,34.0250005601356,48.4750013510605,73.7500019012802,3602.58532667806,2.64062592009055,1797.6793462492,1140.21594968811,34.0000000130505,144.000000061056,147.000000032526
37,27,59.7226906,6.5650258,6650715,26431,126.067444,115.7365352,0,0,0,7.24,1.93,90.83,0,2.80573018,714,752,803,869,972,1048,1131,1231,1314,1534,663,871,59.7406336,6.583356852,6652526.845,27722.75851,18.04026864,19284.23016,184.9941669,129.472222,150.3541666,79.9111114,85.97833323,111.2688891,119.6405558,152.2872218,234.4575004,247.335278,226.191944,221.2566669,-6.791881714,-6.939932614,-5.800376341,-2.929296303,2.245340515,6.63736111,8.233001798,8.075582438,4.650092578,1.532195337,-2.885814817,-5.577840498,0.037369291,15.0363,9.178633333,11.20196667,50.70873333,342.5808667,452.2337667,321.0669667,232.6399333,230.2452333,207.3221333,86.4251,44.7734,37-27,2.5148975748082,4.75991955970525,4.67583797343837,48.1626646868609,-195.14998279818,18.5089401830575,12.4300000059338,5.02289050598222,102.230000023623,6.32470981177614,17459.5683523436,25366.2241444183,1943.14805567823,56.0916664855653,84.5458340413512,106.366666494769,122.899999561003,142.51666596351,59.8708553126857,2003.41303380687,98.661730234772,90.0012363087675,45.3740750588823,67.7222229275419,100.827162239565,4323.25749995453,0.711930543921919,2040.72599004105,1551.42640031035,29.0000000003923,188.00000003197,132.000000054599
168,1,67.8465881,15.5039797,7525847,521208,39.37,25.61,0.42,0,0.74,12.92,20.62,56.3,0,9.407959445,61,139,246,361,453,516,610,696,809,1170,56,1114,67.86051716,15.62973882,7527443.746,526486.5986,21.5405535,97927.66455,114.3608333,92.89060207,80.7506486,63.6870834,58.0346295,69.99560247,93.7831484,96.6190742,130.4036109,183.6211106,113.6231478,133.1658335,-6.634959665,-6.425394436,-5.077337215,-1.893569433,3.253334839,7.772833339,10.38876644,9.818803753,5.617737652,1.686190253,-2.534891968,-5.264271198,0.892270196,39.82943333,35.0703,28.50513333,83.68626667,278.9825,182.5760667,112.3531333,101.4133,134.0764667,169.7251,76.13693333,60.78866667,168-1,3.74833296321104,3.2812870849896,4.10473377514569,41.2856936581798,-130.890469354709,16.7027692314778,71.2999999700362,11.046324011779,69.1600000127884,14.0500000030944,43072.7850803093,135415.766967013,1230.93532473198,46.1694440002503,67.2291665225226,87.3618060122453,94.7534719914115,106.060416953545,61.5422554273191,1303.14329992959,66.8221659433536,59.7541247558725,30.280928351514,43.7798976821129,65.6541248042667,2133.13921164928,1.65533758188775,1899.23937299794,1373.45953105693,18.9999999968376,164.000000028832,117.999999945052
133,7,63.8040886,10.2319088,7083953,265316,14.69191312,12.83431491,0,0.353258231,8.98319899,7.553777799,20.18397349,57.01266145,0,1.065189722,225,266,297,324,348,369,390,415,455,627,87,540,63.83529094,10.40560721,7086700.934,274116.2853,9.148441178,284495.9182,155.459482,123.1178967,119.6361487,105.7149355,71.39690933,82.40184477,101.2754367,108.0236407,190.5514241,191.6272814,156.5813109,191.9182366,-3.692578555,-3.484335069,-1.809144483,1.087980586,6.235362259,9.888668288,11.32205712,11.23891847,7.716833874,4.549819394,0.099741089,-2.226759057,3.410546993,93.26352333,78.48169333,112.22722,237.82959,210.1651133,95.80546333,108.4098,116.62777,201.84576,198.78871,135.6957433,128.4986933,133-7,5.61978647268703,2.62715209340059,3.99520258139262,12.1405908730632,-5.92133669591044,14.4970725769032,206.609999953571,22.8686260794876,63.7699999791357,31.5819999985961,90307.0780451086,379026.71511104,1597.70454700711,46.7815534887346,72.1031555045752,86.0055825053787,104.778640490408,116.976699454122,54.3427535319993,1717.63908002767,82.0076941532843,72.537279376316,36.2426043298796,52.5763322364247,80.5124278710567,1734.66886628735,2.28786053345065,1834.50323460181,1376.97070914118,21.9999999921171,140.999999946678,134.000000006578
28,7,58.6929092,5.6475711,6543711,-40981,9.300467291,10.25248363,0,20.18,1.35,6.11,7.15,61.26,0.19,0.430424861,61,97,115,152,178,209,244,264,301,432,16,416,58.68772679,5.793886176,6541882.281,-32577.64372,6.654961218,131792.2778,153.8895984,113.6532388,131.2652481,81.6371158,93.71023627,103.3837118,130.0009922,159.1803545,215.1941132,229.0382976,211.1813242,177.7133808,-0.333784786,-0.704866247,0.971355152,3.811805349,8.450099135,11.71962176,12.9409479,13.00393731,10.39172577,7.475693588,3.643611493,1.077909713,6.037338012,153.72067,115.6393733,146.36857,102.0131567,99.93261333,109.0007467,137.2549467,167.9868433,226.1991033,241.13247,216.25175,176.0031467,28-7,5.22594065336663,2.42058887139607,3.68083590076296,0.496836426159865,0.916503534070556,9.99663009868826,139.350000010039,17.3070052623177,49.870000022041,27.31045571251,73483.3199506988,180827.484242001,1799.84761145933,57.750708977892,77.1397159880073,92.6556729727601,109.03687895041,119.501772512243,66.4200128224752,1891.5033894328,54.0973359190799,48.3373104239153,24.1901019218301,35.207361068308,54.8450516715118,1511.52808511063,1.89634871436498,1297.64968688424,945.764462034272,32.0000000064088,114.999999958226,126.000000006114
15,49,60.4929657,8.4790649,6724067,142101,21.40709915,24.34532845,0,0,5.073566717,5.073566717,59.1916117,18.60307796,0,3.84906565,886,936,963,995,1028,1049,1066,1083,1101,1185,846,339,60.51257681,8.398950133,6726661.728,137876.2325,6.228965861,65620.35255,40.65492043,27.29301583,34.15317483,27.02603173,40.45518527,55.62079357,68.60925943,65.390635,56.85206393,62.66957697,51.82132267,44.1317992,-9.451143542,-9.136530424,-7.087323777,-3.001738976,3.11814986,8.216008806,9.790622986,8.943178026,4.701910041,0.827132612,-4.835804226,-7.783874397,-0.474951084,1.498933333,1.477,4.1023,41.76073333,252.2935,73.2946,73.12913333,70.2228,61.02716667,50.97503333,9.353133333,3.3364,15-49,3.33433758849577,3.23259443100389,2.43905992639599,83.4761881886776,-355.99739538402,15.8837495573306,59.0200000286369,11.0418187154576,14.5100000015076,11.1178071540558,39958.2304999904,78741.2358735477,574.67777878419,24.5087304996822,32.0182544910927,38.134920998998,43.2992064911053,46.2722230067617,60.4455679043595,642.470733012278,66.2518304553924,59.6790661409027,33.8819112997929,45.8048789161462,72.1225621564623,732.346983629165,1.47704238378888,1334.14495968107,1111.8324733512,18.9999999968376,63.999999976981,54.0000000235292
2,11,62.3613167,11.4787827,6919394,317821,15.42706122,14.32512828,0,0,10.92804304,2.521856086,22.69670477,47.91526564,0,1.652470113,778,826,882,916,940,968,1006,1053,1106,1593,737,856,62.30651869,11.53892761,6913068.206,320609.2065,6.061916403,149708.6726,33.5852704,24.63048433,25.71441583,25.37037073,37.0566098,62.32025623,79.19706543,69.10319117,66.16230807,47.73239357,41.33703667,39.0932195,-12.40315596,-11.50801188,-8.25524491,-3.446813858,3.286835767,8.362799623,9.664271695,8.661707587,4.23469895,0.048511163,-6.577889851,-10.32652238,-1.521567838,1.152953333,0.6967,2.9756,42.52819333,196.9658067,72.91913333,83.28686667,71.40986667,66.97466,36.37312667,5.770233333,0.5248,2-11,4.66689508016972,2.72949385242346,2.66512063142032,132.434337430221,-562.58725105466,14.0344507088806,118.95999998193,18.3213026854066,18.9299999958121,21.7799096893124,67195.1169878624,168939.661903844,551.302621660658,24.238889004426,32.647008491917,39.2521370154588,44.43760698059,48.7448715043896,65.0819548144855,581.577940202819,63.9870382817063,57.6370377183933,29.774074481098,40.6648158848008,66.6166676333263,586.544702919182,1.77036673139006,1420.13838205704,1258.4790907306,25.000000003295,91.0000000439667,78.0000000242119
156,27,66.4408569,13.8567638,7369517,449012,51.89,40.31,12.5,0,0.41,2.63,3.52,65.64,0,0.115638012,275,346,393,442,494,573,686,855,1015,1287,78,1209,66.45697296,13.74078328,7371394.209,443869.0184,13.17039268,89741.05904,186.7544441,153.3977776,151.7866667,113.3720136,94.64958317,104.2521525,143.0295833,154.9444443,220.8685413,264.41618,190.1790971,216.8290968,-7.244083788,-6.774362096,-5.378069009,-2.249490726,2.77739247,7.152576394,9.496646517,9.156384403,5.180361117,1.546377685,-3.138516201,-5.774034522,0.395931854,44.08926667,32.29696667,41.36076667,119.5996333,399.082,371.9423333,280.8655333,202.7246333,220.6748,236.1399,104.5958333,86.14166667,156-27,3.35708206623215,3.72110460140867,4.59154084889869,45.8919818077215,-155.55325804674,19.977036817306,43.7500000085915,11.1036737052658,96.799999972651,11.2699999994175,30242.1093046863,104126.972201453,1994.47957972451,69.7666664724472,99.0197919658054,117.277083500999,135.854166464881,147.409374531972,54.211354655857,2139.51333371177,49.9775868036082,45.1068974670465,22.655172832956,32.8172419013728,50.8431045722148,2679.34805271735,1.44665834771464,2380.04508318305,2051.22420691534,21.0000000058081,206.000000043346,134.000000006578
